organism	gem	ec	expressible_in_reference_vocab
E.coli	iML1515	4.1.3.43	1
E.coli	iML1515	4.1.99.17	0
E.coli	iML1515	4.2.1.4	0
E.coli	iML1515	4.2.1.13	0
E.coli	iML1515	4.2.1.28	1
E.coli	iML1515	4.2.1.30	1
E.coli	iML1515	4.2.1.44	1
E.coli	iML1515	4.2.1.49	1
E.coli	iML1515	4.2.1.66	0
E.coli	iML1515	4.2.1.70	0
E.coli	iML1515	4.2.1.85	0
E.coli	iML1515	4.2.1.90	0
E.coli	iML1515	4.2.1.96	0
E.coli	iML1515	4.2.1.106	0
E.coli	iML1515	4.2.1.116	1
E.coli	iML1515	4.2.1.119	0
E.coli	iML1515	4.2.1.131	0
E.coli	iML1515	4.2.1.135	0
E.coli	iML1515	4.2.1.136	0
E.coli	iML1515	4.2.2.1	0
E.coli	iML1515	4.2.3.13	0
E.coli	iML1515	4.2.99.2	0
E.coli	iML1515	4.2.99.9	1
E.coli	iML1515	4.3.1.2	0
E.coli	iML1515	4.3.1.12	1
E.coli	iML1515	4.3.2.3	0
E.coli	iML1515	4.3.2.10	0
E.coli	iML1515	4.3.3.7	0
E.coli	iML1515	4.4.1.13	0
E.coli	iML1515	4.4.1.16	0
E.coli	iML1515	4.6.1.13	0
E.coli	iML1515	4.7.1.1	0
E.coli	iML1515	5.1.1.9	1
E.coli	iML1515	5.1.1.10	1
E.coli	iML1515	5.1.1.12	0
E.coli	iML1515	5.1.1.13	0
E.coli	iML1515	5.1.1.18	1
E.coli	iML1515	5.1.2.3	0
E.coli	iML1515	5.1.3.7	1
E.coli	iML1515	5.1.3.8	0
E.coli	iML1515	5.1.3.15	1
E.coli	iML1515	5.1.3.24	0
E.coli	iML1515	5.1.3.29	0
E.coli	iML1515	5.1.3.32	0
E.coli	iML1515	5.1.99.6	0
E.coli	iML1515	5.1.99.7	0
E.coli	iML1515	5.2.1.8	0
E.coli	iML1515	5.3.1.17	0
E.coli	iML1515	5.3.1.23	1
E.coli	iML1515	5.3.1.25	0
E.coli	iML1515	5.3.1.31	0
E.coli	iML1515	5.3.1.32	0
E.coli	iML1515	5.3.2.6	1
E.coli	iML1515	5.3.2.8	0
E.coli	iML1515	5.3.3.14	0
E.coli	iML1515	5.3.3.16	0
E.coli	iML1515	5.3.4.1	0
E.coli	iML1515	5.3.99.11	0
E.coli	iML1515	5.4.2.6	1
E.coli	iML1515	5.4.99.1	0
E.coli	iML1515	5.4.99.2	1
E.coli	iML1515	5.4.99.3	0
E.coli	iML1515	5.4.99.6	0
E.coli	iML1515	5.4.99.12	0
E.coli	iML1515	5.4.99.28	0
E.coli	iML1515	5.4.99.62	0
E.coli	iML1515	5.5.1.4	1
E.coli	iML1515	5.5.1.19	0
E.coli	iML1515	6.1.1.1	1
E.coli	iML1515	6.1.1.2	1
E.coli	iML1515	6.1.1.4	1
E.coli	iML1515	6.1.1.5	1
E.coli	iML1515	6.1.1.6	1
E.coli	iML1515	6.1.1.7	1
E.coli	iML1515	6.1.1.10	1
E.coli	iML1515	6.1.1.11	1
E.coli	iML1515	6.1.1.12	1
E.coli	iML1515	6.1.1.13	0
E.coli	iML1515	6.1.1.14	1
E.coli	iML1515	6.1.1.15	1
E.coli	iML1515	6.1.1.16	1
E.coli	iML1515	6.1.1.18	1
E.coli	iML1515	6.1.1.19	1
E.coli	iML1515	6.1.1.20	1
E.coli	iML1515	6.1.1.21	1
E.coli	iML1515	6.1.1.22	1
E.coli	iML1515	6.2.1.2	0
E.coli	iML1515	6.2.1.3	1
E.coli	iML1515	6.2.1.11	1
E.coli	iML1515	6.2.1.17	1
E.coli	iML1515	6.2.1.22	0
E.coli	iML1515	6.2.1.41	0
E.coli	iML1515	6.2.1.42	0
E.coli	iML1515	6.2.1.45	0
E.coli	iML1515	6.2.1.47	0
E.coli	iML1515	6.2.1.48	0
E.coli	iML1515	6.3.1.10	1
E.coli	iML1515	6.3.2.14	0
E.coli	iML1515	6.3.2.15	0
E.coli	iML1515	6.3.2.38	0
E.coli	iML1515	6.3.2.39	0
E.coli	iML1515	6.3.2.45	0
E.coli	iML1515	6.3.2.51	0
E.coli	iML1515	6.3.3.2	1
E.coli	iML1515	6.3.4.1	0
E.coli	iML1515	6.3.4.9	1
E.coli	iML1515	6.3.4.10	1
E.coli	iML1515	6.3.4.11	1
E.coli	iML1515	6.3.4.14	0
E.coli	iML1515	6.3.4.15	1
E.coli	iML1515	6.3.4.16	0
E.coli	iML1515	6.3.5.6	0
E.coli	iML1515	6.4.1.1	1
E.coli	iML1515	6.5.1.1	0
E.coli	iML1515	6.5.1.2	0
E.coli	iML1515	6.5.1.4	0
E.coli	iML1515	6.5.1.6	0
E.coli	iML1515	6.5.1.8	0
E.coli	iML1515	6.6.1.1	0
E.coli	iML1515	7.1.1.1	0
E.coli	iML1515	7.1.1.2	0
E.coli	iML1515	7.1.2.2	0
E.coli	iML1515	7.1.3.1	0
E.coli	iML1515	7.2.1.1	0
E.coli	iML1515	7.2.2.1	0
E.coli	iML1515	7.2.2.3	0
E.coli	iML1515	7.2.2.4	0
E.coli	iML1515	7.2.4.2	0
E.coli	iML1515	7.2.4.3	0
E.coli	iML1515	7.3.2.1	0
E.coli	iML1515	7.3.2.2	0
E.coli	iML1515	7.4.2.1	0
E.coli	iML1515	7.5.2.1	0
E.coli	iML1515	7.6.2.2	0
Salmonella	STM_v1_0	1.1.1.8	1
Salmonella	STM_v1_0	1.1.1.11	1
Salmonella	STM_v1_0	1.1.1.14	1
Salmonella	STM_v1_0	1.1.1.15	1
Salmonella	STM_v1_0	1.1.1.18	1
Salmonella	STM_v1_0	1.1.1.24	1
Salmonella	STM_v1_0	1.1.1.31	0
Salmonella	STM_v1_0	1.1.1.36	1
Salmonella	STM_v1_0	1.1.1.47	0
Salmonella	STM_v1_0	1.1.1.55	0
Salmonella	STM_v1_0	1.1.1.61	1
Salmonella	STM_v1_0	1.1.1.67	0
Salmonella	STM_v1_0	1.1.1.90	1
Salmonella	STM_v1_0	1.1.1.91	0
Salmonella	STM_v1_0	1.1.1.105	0
Salmonella	STM_v1_0	1.1.1.118	1
Salmonella	STM_v1_0	1.1.1.119	0
Salmonella	STM_v1_0	1.1.1.122	0
Salmonella	STM_v1_0	1.1.1.124	0
Salmonella	STM_v1_0	1.1.1.125	0
Salmonella	STM_v1_0	1.1.1.127	0
Salmonella	STM_v1_0	1.1.1.128	0
Salmonella	STM_v1_0	1.1.1.138	0
Salmonella	STM_v1_0	1.1.1.157	1
Salmonella	STM_v1_0	1.1.1.158	0
Salmonella	STM_v1_0	1.1.1.164	0
Salmonella	STM_v1_0	1.1.1.178	1
Salmonella	STM_v1_0	1.1.1.191	0
Salmonella	STM_v1_0	1.1.1.192	0
Salmonella	STM_v1_0	1.1.1.262	0
Salmonella	STM_v1_0	1.1.1.265	0
Salmonella	STM_v1_0	1.1.1.274	0
Salmonella	STM_v1_0	1.1.1.291	0
Salmonella	STM_v1_0	1.1.1.292	0
Salmonella	STM_v1_0	1.1.1.298	1
Salmonella	STM_v1_0	1.1.1.307	0
Salmonella	STM_v1_0	1.1.1.316	0
Salmonella	STM_v1_0	1.1.1.327	0
Salmonella	STM_v1_0	1.1.1.343	0
Salmonella	STM_v1_0	1.1.1.369	0
Salmonella	STM_v1_0	1.1.1.370	0
Salmonella	STM_v1_0	1.1.1.371	0
Salmonella	STM_v1_0	1.1.1.372	1
Salmonella	STM_v1_0	1.1.1.399	1
Salmonella	STM_v1_0	1.1.2.7	0
Salmonella	STM_v1_0	1.1.3.12	1
Salmonella	STM_v1_0	1.1.5.2	0
Salmonella	STM_v1_0	1.1.5.3	1
Salmonella	STM_v1_0	1.1.5.8	1
Salmonella	STM_v1_0	1.1.5.12	0
Salmonella	STM_v1_0	1.1.9.1	0
Salmonella	STM_v1_0	1.1.99.2	0
Salmonella	STM_v1_0	1.1.99.3	0
Salmonella	STM_v1_0	1.1.99.11	0
Salmonella	STM_v1_0	1.1.99.25	1
Salmonella	STM_v1_0	1.1.99.28	0
Salmonella	STM_v1_0	1.2.1.2	1
Salmonella	STM_v1_0	1.2.1.8	1
Salmonella	STM_v1_0	1.2.1.22	1
Salmonella	STM_v1_0	1.2.1.23	0
Salmonella	STM_v1_0	1.2.1.26	0
Salmonella	STM_v1_0	1.2.1.29	1
Salmonella	STM_v1_0	1.2.1.39	1
Salmonella	STM_v1_0	1.2.1.47	0
Salmonella	STM_v1_0	1.2.1.57	0
Salmonella	STM_v1_0	1.2.1.58	0
Salmonella	STM_v1_0	1.2.1.68	1
Salmonella	STM_v1_0	1.2.1.76	1
Salmonella	STM_v1_0	1.2.1.94	0
Salmonella	STM_v1_0	1.2.2.2	0
Salmonella	STM_v1_0	1.2.5.1	0
Salmonella	STM_v1_0	1.2.7.2	0
Salmonella	STM_v1_0	1.2.7.3	0
Salmonella	STM_v1_0	1.2.7.4	0
Salmonella	STM_v1_0	1.2.98.1	0
Salmonella	STM_v1_0	1.2.99.2	0
Salmonella	STM_v1_0	1.2.99.4	0
Salmonella	STM_v1_0	1.3.1.1	1
Salmonella	STM_v1_0	1.3.1.34	0
Salmonella	STM_v1_0	1.3.1.74	0
Salmonella	STM_v1_0	1.3.1.95	0
Salmonella	STM_v1_0	1.3.1.96	0
Salmonella	STM_v1_0	1.3.1.106	0
Salmonella	STM_v1_0	1.3.1.108	0
Salmonella	STM_v1_0	1.3.3.1	0
Salmonella	STM_v1_0	1.3.3.5	0
Salmonella	STM_v1_0	1.3.5.1	1
Salmonella	STM_v1_0	1.3.5.2	0
Salmonella	STM_v1_0	1.3.5.3	0
Salmonella	STM_v1_0	1.3.8.4	1
Salmonella	STM_v1_0	1.3.8.13	0
Salmonella	STM_v1_0	1.3.99.2	1
Salmonella	STM_v1_0	1.3.99.10	1
Salmonella	STM_v1_0	1.3.99.13	0
Salmonella	STM_v1_0	1.4.1.1	1
Salmonella	STM_v1_0	1.4.1.2	1
Salmonella	STM_v1_0	1.4.1.5	0
Salmonella	STM_v1_0	1.4.1.7	0
Salmonella	STM_v1_0	1.4.1.8	0
Salmonella	STM_v1_0	1.4.1.9	1
Salmonella	STM_v1_0	1.4.1.10	0
Salmonella	STM_v1_0	1.4.1.12	0
Salmonella	STM_v1_0	1.4.1.15	0
Salmonella	STM_v1_0	1.4.1.19	0
Salmonella	STM_v1_0	1.4.1.20	1
Salmonella	STM_v1_0	1.4.3.1	0
Salmonella	STM_v1_0	1.4.3.2	1
Salmonella	STM_v1_0	1.4.3.3	1
Salmonella	STM_v1_0	1.4.3.7	0
Salmonella	STM_v1_0	1.4.3.11	0
Salmonella	STM_v1_0	1.4.3.19	1
Salmonella	STM_v1_0	1.4.3.25	0
Salmonella	STM_v1_0	1.5.1.29	0
Salmonella	STM_v1_0	1.5.1.34	1
Salmonella	STM_v1_0	1.5.5.1	0
Salmonella	STM_v1_0	1.5.5.2	0
Salmonella	STM_v1_0	1.6.4.2	0
Salmonella	STM_v1_0	1.6.5.2	0
Salmonella	STM_v1_0	1.6.5.8	0
Salmonella	STM_v1_0	1.6.5.9	0
Salmonella	STM_v1_0	1.6.5.10	0
Salmonella	STM_v1_0	1.6.5.12	0
Salmonella	STM_v1_0	1.6.6.8	0
Salmonella	STM_v1_0	1.6.6.9	0
Salmonella	STM_v1_0	1.6.99.3	0
Salmonella	STM_v1_0	1.6.99.6	0
Salmonella	STM_v1_0	1.6.99.7	0
Salmonella	STM_v1_0	1.7.1.6	0
Salmonella	STM_v1_0	1.7.1.10	1
Salmonella	STM_v1_0	1.7.1.13	1
Salmonella	STM_v1_0	1.7.2.1	0
Salmonella	STM_v1_0	1.7.2.2	0
Salmonella	STM_v1_0	1.7.2.3	0
Salmonella	STM_v1_0	1.7.2.5	0
Salmonella	STM_v1_0	1.7.99.1	1
Salmonella	STM_v1_0	1.7.99.5	0
Salmonella	STM_v1_0	1.8.1.8	0
Salmonella	STM_v1_0	1.8.1.10	0
Salmonella	STM_v1_0	1.8.2.2	1
Salmonella	STM_v1_0	1.8.3.2	0
Salmonella	STM_v1_0	1.8.3.4	0
Salmonella	STM_v1_0	1.8.4.11	0
Salmonella	STM_v1_0	1.8.4.12	0
Salmonella	STM_v1_0	1.8.5.3	0
Salmonella	STM_v1_0	1.8.98.1	0
Salmonella	STM_v1_0	1.9.3.1	1
Salmonella	STM_v1_0	1.9.6.1	0
Salmonella	STM_v1_0	1.11.1.5	0
Salmonella	STM_v1_0	1.11.1.7	1
Salmonella	STM_v1_0	1.11.1.13	0
Salmonella	STM_v1_0	1.12.7.2	0
Salmonella	STM_v1_0	1.12.98.3	0
Salmonella	STM_v1_0	1.12.99.6	0
Salmonella	STM_v1_0	1.13.11.4	0
Salmonella	STM_v1_0	1.13.11.5	1
Salmonella	STM_v1_0	1.13.11.8	0
Salmonella	STM_v1_0	1.13.11.20	0
Salmonella	STM_v1_0	1.13.11.24	1
Salmonella	STM_v1_0	1.13.11.29	0
Salmonella	STM_v1_0	1.13.11.63	0
Salmonella	STM_v1_0	1.13.12.9	0
Salmonella	STM_v1_0	1.14.11.2	0
Salmonella	STM_v1_0	1.14.11.33	0
Salmonella	STM_v1_0	1.14.11.57	0
Salmonella	STM_v1_0	1.14.13.1	0
Salmonella	STM_v1_0	1.14.13.3	1
Salmonella	STM_v1_0	1.14.13.7	0
Salmonella	STM_v1_0	1.14.13.20	0
Salmonella	STM_v1_0	1.14.13.24	0
Salmonella	STM_v1_0	1.14.13.50	0
Salmonella	STM_v1_0	1.14.13.107	0
Salmonella	STM_v1_0	1.14.13.135	0
Salmonella	STM_v1_0	1.14.13.219	0
Salmonella	STM_v1_0	1.14.14.18	0
Salmonella	STM_v1_0	1.14.14.51	0
Salmonella	STM_v1_0	1.14.99.36	0
Salmonella	STM_v1_0	1.16.1.3	0
Salmonella	STM_v1_0	1.16.1.7	0
Salmonella	STM_v1_0	1.16.1.9	0
Salmonella	STM_v1_0	1.16.3.2	0
Salmonella	STM_v1_0	1.17.1.8	0
Salmonella	STM_v1_0	1.17.1.9	0
Salmonella	STM_v1_0	1.17.4.2	1
Salmonella	STM_v1_0	1.17.7.1	0
Salmonella	STM_v1_0	1.17.7.3	0
Salmonella	STM_v1_0	1.17.7.4	0
Salmonella	STM_v1_0	1.18.1.2	1
Salmonella	STM_v1_0	1.18.6.1	0
Salmonella	STM_v1_0	1.20.4.1	1
Salmonella	STM_v1_0	1.21.4.2	0
Salmonella	STM_v1_0	1.21.4.4	0
Salmonella	STM_v1_0	2.1.1.14	1
Salmonella	STM_v1_0	2.1.1.35	0
Salmonella	STM_v1_0	2.1.1.37	1
Salmonella	STM_v1_0	2.1.1.61	0
Salmonella	STM_v1_0	2.1.1.63	0
Salmonella	STM_v1_0	2.1.1.72	0
Salmonella	STM_v1_0	2.1.1.80	0
Salmonella	STM_v1_0	2.1.1.114	0
Salmonella	STM_v1_0	2.1.1.132	1
Salmonella	STM_v1_0	2.1.1.148	1
Salmonella	STM_v1_0	2.1.1.192	0
Salmonella	STM_v1_0	2.1.1.228	0
Salmonella	STM_v1_0	2.1.1.266	0
Salmonella	STM_v1_0	2.1.1.280	0
Salmonella	STM_v1_0	2.1.1.289	0
Salmonella	STM_v1_0	2.1.1.334	0
Salmonella	STM_v1_0	2.1.1.346	0
Salmonella	STM_v1_0	2.1.1.348	0
Salmonella	STM_v1_0	2.1.3.1	0
Salmonella	STM_v1_0	2.2.1.3	0
Salmonella	STM_v1_0	2.2.1.9	1
Salmonella	STM_v1_0	2.3.1.11	0
Salmonella	STM_v1_0	2.3.1.16	1
Salmonella	STM_v1_0	2.3.1.20	0
Salmonella	STM_v1_0	2.3.1.31	1
Salmonella	STM_v1_0	2.3.1.48	0
Salmonella	STM_v1_0	2.3.1.89	1
Salmonella	STM_v1_0	2.3.1.97	0
Salmonella	STM_v1_0	2.3.1.118	0
Salmonella	STM_v1_0	2.3.1.155	1
Salmonella	STM_v1_0	2.3.1.169	0
Salmonella	STM_v1_0	2.3.1.174	1
Salmonella	STM_v1_0	2.3.1.181	0
Salmonella	STM_v1_0	2.3.1.183	0
Salmonella	STM_v1_0	2.3.1.184	0
Salmonella	STM_v1_0	2.3.1.189	0
Salmonella	STM_v1_0	2.3.1.193	0
Salmonella	STM_v1_0	2.3.1.199	0
Salmonella	STM_v1_0	2.3.1.202	0
Salmonella	STM_v1_0	2.3.1.225	0
Salmonella	STM_v1_0	2.3.1.234	0
Salmonella	STM_v1_0	2.3.1.242	0
Salmonella	STM_v1_0	2.3.1.245	0
Salmonella	STM_v1_0	2.3.1.269	0
Salmonella	STM_v1_0	2.3.2.2	1
Salmonella	STM_v1_0	2.3.2.3	0
Salmonella	STM_v1_0	2.3.2.26	0
Salmonella	STM_v1_0	2.3.2.27	0
Salmonella	STM_v1_0	2.3.2.31	0
Salmonella	STM_v1_0	2.4.1.2	0
Salmonella	STM_v1_0	2.4.1.8	1
Salmonella	STM_v1_0	2.4.1.17	0
Salmonella	STM_v1_0	2.4.1.44	0
Salmonella	STM_v1_0	2.4.1.52	0
Salmonella	STM_v1_0	2.4.1.54	0
Salmonella	STM_v1_0	2.4.1.58	0
Salmonella	STM_v1_0	2.4.1.63	0
Salmonella	STM_v1_0	2.4.1.73	0
Salmonella	STM_v1_0	2.4.1.83	0
Salmonella	STM_v1_0	2.4.1.100	0
Salmonella	STM_v1_0	2.4.1.109	0
Salmonella	STM_v1_0	2.4.1.119	0
Salmonella	STM_v1_0	2.4.1.135	0
Salmonella	STM_v1_0	2.4.1.162	0
Salmonella	STM_v1_0	2.4.1.198	0
Salmonella	STM_v1_0	2.4.1.212	0
Salmonella	STM_v1_0	2.4.1.214	0
Salmonella	STM_v1_0	2.4.1.246	0
Salmonella	STM_v1_0	2.4.1.250	0
Salmonella	STM_v1_0	2.4.1.255	0
Salmonella	STM_v1_0	2.4.1.289	0
Salmonella	STM_v1_0	2.4.1.290	0
Salmonella	STM_v1_0	2.4.1.345	0
Salmonella	STM_v1_0	2.4.2.5	0
Salmonella	STM_v1_0	2.4.2.6	0
Salmonella	STM_v1_0	2.4.2.11	1
Salmonella	STM_v1_0	2.4.2.23	0
Salmonella	STM_v1_0	2.4.2.29	0
Salmonella	STM_v1_0	2.4.2.31	0
Salmonella	STM_v1_0	2.4.2.43	0
Salmonella	STM_v1_0	2.4.2.53	0
Salmonella	STM_v1_0	2.4.99.18	0
Salmonella	STM_v1_0	2.5.1.18	0
Salmonella	STM_v1_0	2.5.1.21	1
Salmonella	STM_v1_0	2.5.1.22	1
Salmonella	STM_v1_0	2.5.1.25	0
Salmonella	STM_v1_0	2.5.1.29	1
Salmonella	STM_v1_0	2.5.1.30	0
Salmonella	STM_v1_0	2.5.1.32	0
Salmonella	STM_v1_0	2.5.1.49	1
Salmonella	STM_v1_0	2.5.1.64	1
Salmonella	STM_v1_0	2.5.1.96	1
Salmonella	STM_v1_0	2.5.1.99	0
Salmonella	STM_v1_0	2.5.1.103	1
Salmonella	STM_v1_0	2.5.1.120	0
Salmonella	STM_v1_0	2.5.1.144	0
Salmonella	STM_v1_0	2.6.1.3	1
Salmonella	STM_v1_0	2.6.1.13	1
Salmonella	STM_v1_0	2.6.1.23	0
Salmonella	STM_v1_0	2.6.1.33	0
Salmonella	STM_v1_0	2.6.1.39	1
Salmonella	STM_v1_0	2.6.1.55	0
Salmonella	STM_v1_0	2.6.1.58	0
Salmonella	STM_v1_0	2.6.1.69	0
Salmonella	STM_v1_0	2.6.1.78	0
Salmonella	STM_v1_0	2.6.1.88	0
Salmonella	STM_v1_0	2.6.1.92	0
Salmonella	STM_v1_0	2.6.1.96	0
Salmonella	STM_v1_0	2.6.1.113	0
Salmonella	STM_v1_0	2.6.99.2	0
Salmonella	STM_v1_0	2.7.1.19	0
Salmonella	STM_v1_0	2.7.1.34	1
Salmonella	STM_v1_0	2.7.1.47	1
Salmonella	STM_v1_0	2.7.1.68	0
Salmonella	STM_v1_0	2.7.1.85	0
Salmonella	STM_v1_0	2.7.1.108	0
Salmonella	STM_v1_0	2.7.1.158	0
Salmonella	STM_v1_0	2.7.1.167	0
Salmonella	STM_v1_0	2.7.1.170	0
Salmonella	STM_v1_0	2.7.1.173	0
Salmonella	STM_v1_0	2.7.1.184	0
Salmonella	STM_v1_0	2.7.1.189	0
Salmonella	STM_v1_0	2.7.1.191	0
Salmonella	STM_v1_0	2.7.1.197	0
Salmonella	STM_v1_0	2.7.1.199	0
Salmonella	STM_v1_0	2.7.1.201	0
Salmonella	STM_v1_0	2.7.1.205	0
Salmonella	STM_v1_0	2.7.3.9	0
Salmonella	STM_v1_0	2.7.4.1	0
Salmonella	STM_v1_0	2.7.4.27	0
Salmonella	STM_v1_0	2.7.4.28	0
Salmonella	STM_v1_0	2.7.7.13	1
Salmonella	STM_v1_0	2.7.7.42	0
Salmonella	STM_v1_0	2.7.7.65	0
Salmonella	STM_v1_0	2.7.7.73	0
Salmonella	STM_v1_0	2.7.7.75	1
Salmonella	STM_v1_0	2.7.7.80	0
Salmonella	STM_v1_0	2.7.7.87	0
Salmonella	STM_v1_0	2.7.7.89	0
Salmonella	STM_v1_0	2.7.8.6	0
Salmonella	STM_v1_0	2.7.8.11	0
Salmonella	STM_v1_0	2.7.8.12	0
Salmonella	STM_v1_0	2.7.8.21	0
Salmonella	STM_v1_0	2.7.8.25	0
Salmonella	STM_v1_0	2.7.8.26	1
Salmonella	STM_v1_0	2.7.8.30	0
Salmonella	STM_v1_0	2.7.8.31	0
Salmonella	STM_v1_0	2.7.8.33	0
Salmonella	STM_v1_0	2.7.8.35	0
Salmonella	STM_v1_0	2.7.8.37	0
Salmonella	STM_v1_0	2.7.8.42	0
Salmonella	STM_v1_0	2.7.10.1	0
Salmonella	STM_v1_0	2.7.10.2	0
Salmonella	STM_v1_0	2.7.11.1	0
Salmonella	STM_v1_0	2.7.11.12	0
Salmonella	STM_v1_0	2.7.11.13	0
Salmonella	STM_v1_0	2.7.11.17	0
Salmonella	STM_v1_0	2.7.11.21	0
Salmonella	STM_v1_0	2.7.11.22	0
Salmonella	STM_v1_0	2.7.11.32	0
Salmonella	STM_v1_0	2.7.11.33	0
Salmonella	STM_v1_0	2.7.12.1	0
Salmonella	STM_v1_0	2.7.12.2	0
Salmonella	STM_v1_0	2.7.13.2	0
Salmonella	STM_v1_0	2.7.13.3	0
Salmonella	STM_v1_0	2.8.1.7	0
Salmonella	STM_v1_0	2.8.1.8	0
Salmonella	STM_v1_0	2.8.1.10	0
Salmonella	STM_v1_0	2.8.2.20	0
Salmonella	STM_v1_0	2.8.2.22	0
Salmonella	STM_v1_0	2.8.3.8	1
Salmonella	STM_v1_0	2.8.3.10	0
Salmonella	STM_v1_0	2.10.1.1	0
Salmonella	STM_v1_0	3.1.1.1	0
Salmonella	STM_v1_0	3.1.1.2	0
Salmonella	STM_v1_0	3.1.1.3	0
Salmonella	STM_v1_0	3.1.1.6	0
Salmonella	STM_v1_0	3.1.1.11	0
Salmonella	STM_v1_0	3.1.1.17	0
Salmonella	STM_v1_0	3.1.1.21	0
Salmonella	STM_v1_0	3.1.1.25	0
Salmonella	STM_v1_0	3.1.1.29	0
Salmonella	STM_v1_0	3.1.1.34	0
Salmonella	STM_v1_0	3.1.1.45	0
Salmonella	STM_v1_0	3.1.1.61	0
Salmonella	STM_v1_0	3.1.1.77	0
Salmonella	STM_v1_0	3.1.1.79	0
Salmonella	STM_v1_0	3.1.1.84	0
Salmonella	STM_v1_0	3.1.2.18	0
Salmonella	STM_v1_0	3.1.2.19	0
Salmonella	STM_v1_0	3.1.2.20	0
Salmonella	STM_v1_0	3.1.2.28	0
Salmonella	STM_v1_0	3.1.3.8	0
Salmonella	STM_v1_0	3.1.3.16	0
Salmonella	STM_v1_0	3.1.3.26	0
Salmonella	STM_v1_0	3.1.3.37	1
Salmonella	STM_v1_0	3.1.3.41	0
Salmonella	STM_v1_0	3.1.3.48	0
Salmonella	STM_v1_0	3.1.3.62	0
Salmonella	STM_v1_0	3.1.3.68	1
Salmonella	STM_v1_0	3.1.3.70	0
Salmonella	STM_v1_0	3.1.3.73	1
Salmonella	STM_v1_0	3.1.3.78	0
Salmonella	STM_v1_0	3.1.3.82	0
Salmonella	STM_v1_0	3.1.3.90	0
Salmonella	STM_v1_0	3.1.3.100	0
Salmonella	STM_v1_0	3.1.3.102	1
Salmonella	STM_v1_0	3.1.4.3	0
Salmonella	STM_v1_0	3.1.4.4	0
Salmonella	STM_v1_0	3.1.4.14	1
Salmonella	STM_v1_0	3.1.4.35	1
Salmonella	STM_v1_0	3.1.4.52	0
Salmonella	STM_v1_0	3.1.6.1	0
Salmonella	STM_v1_0	3.1.6.2	0
Salmonella	STM_v1_0	3.1.6.6	1
Salmonella	STM_v1_0	3.1.6.8	0
Salmonella	STM_v1_0	3.1.8.1	0
Salmonella	STM_v1_0	3.1.21.7	0
Salmonella	STM_v1_0	3.2.1.1	1
Salmonella	STM_v1_0	3.2.1.4	0
Salmonella	STM_v1_0	3.2.1.10	1
Salmonella	STM_v1_0	3.2.1.14	0
Salmonella	STM_v1_0	3.2.1.17	0
Salmonella	STM_v1_0	3.2.1.18	0
Salmonella	STM_v1_0	3.2.1.21	1
Salmonella	STM_v1_0	3.2.1.23	1
Salmonella	STM_v1_0	3.2.1.26	1
Salmonella	STM_v1_0	3.2.1.45	0
Salmonella	STM_v1_0	3.2.1.47	0
Salmonella	STM_v1_0	3.2.1.48	1
Salmonella	STM_v1_0	3.2.1.51	0
Salmonella	STM_v1_0	3.2.1.52	1
Salmonella	STM_v1_0	3.2.1.62	0
Salmonella	STM_v1_0	3.2.1.67	0
Salmonella	STM_v1_0	3.2.1.91	0
Salmonella	STM_v1_0	3.2.1.108	1
Salmonella	STM_v1_0	3.2.1.165	0
Salmonella	STM_v1_0	3.2.1.169	0
Salmonella	STM_v1_0	3.2.1.172	0
Salmonella	STM_v1_0	3.2.1.177	0
Salmonella	STM_v1_0	3.2.1.182	0
Salmonella	STM_v1_0	3.2.1.183	1
Salmonella	STM_v1_0	3.2.1.185	0
Salmonella	STM_v1_0	3.2.2.24	0
Salmonella	STM_v1_0	3.2.2.27	0
Salmonella	STM_v1_0	3.2.2.31	0
Salmonella	STM_v1_0	3.4.11.4	0
Salmonella	STM_v1_0	3.4.11.5	0
Salmonella	STM_v1_0	3.4.13.4	0
Salmonella	STM_v1_0	3.4.13.9	0
Salmonella	STM_v1_0	3.4.13.19	0
Salmonella	STM_v1_0	3.4.13.20	0
Salmonella	STM_v1_0	3.4.17.14	0
Salmonella	STM_v1_0	3.4.19.3	0
Salmonella	STM_v1_0	3.4.19.5	0
Salmonella	STM_v1_0	3.4.19.12	0
Salmonella	STM_v1_0	3.4.19.14	0
Salmonella	STM_v1_0	3.4.19.15	0
Salmonella	STM_v1_0	3.4.21.10	0
Salmonella	STM_v1_0	3.4.21.12	0
Salmonella	STM_v1_0	3.4.21.19	0
Salmonella	STM_v1_0	3.4.21.20	0
Salmonella	STM_v1_0	3.4.21.25	0
Salmonella	STM_v1_0	3.4.21.26	0
Salmonella	STM_v1_0	3.4.21.34	0
Salmonella	STM_v1_0	3.4.21.35	0
Salmonella	STM_v1_0	3.4.21.36	0
Salmonella	STM_v1_0	3.4.21.37	0
Salmonella	STM_v1_0	3.4.21.39	0
Salmonella	STM_v1_0	3.4.21.48	0
Salmonella	STM_v1_0	3.4.21.49	0
Salmonella	STM_v1_0	3.4.21.50	0
Salmonella	STM_v1_0	3.4.21.53	0
Salmonella	STM_v1_0	3.4.21.57	0
Salmonella	STM_v1_0	3.4.21.59	0
Salmonella	STM_v1_0	3.4.21.61	0
Salmonella	STM_v1_0	3.4.21.62	0
Salmonella	STM_v1_0	3.4.21.63	0
Salmonella	STM_v1_0	3.4.21.64	0
